price,location
15995,dallas
15995,dallas
46995,dallas
46995,dallas
15995,dallas
15995,dallas
19995,dallas
19995,dallas
19995,dallas
19995,dallas
33900,phoenix
33900,phoenix
3250,phoenix
3250,phoenix
29900,phoenix
29900,phoenix
200,newyork
15000,newyork
15000,newyork
15000,newyork
15000,newyork
15000,newyork
15000,newyork
3500,newyork
3500,newyork
3500,newyork
3500,newyork
3500,newyork
3500,newyork
150,newyork
150,newyork
80,newyork
80,newyork
2000,newyork
2000,newyork
75,philadelphia
75,philadelphia
22900,philadelphia
22900,philadelphia
3500,philadelphia
3500,philadelphia
12500,philadelphia
12500,philadelphia
997,philadelphia
997,philadelphia
950,philadelphia
950,philadelphia
225,philadelphia
225,philadelphia
8999,philadelphia
8999,philadelphia
2500,philadelphia
100,sandiego
100,sandiego
300,sandiego
300,sandiego
50,sandiego
50,sandiego
600,sandiego
600,sandiego
100,sandiego
100,sandiego
8000,sandiego
8000,sandiego
8000,sandiego
8000,sandiego
46995,dallas
46995,dallas
15995,dallas
15995,dallas
19995,dallas
19995,dallas
19995,dallas
24900,phoenix
24900,phoenix
24930,phoenix
24930,phoenix
24888,phoenix
24888,phoenix
24888,phoenix
24888,phoenix
33900,phoenix
33900,phoenix
23888,phoenix
2500,philadelphia
450,philadelphia
450,philadelphia
450,philadelphia
450,philadelphia
1095,philadelphia
1095,philadelphia
6100,philadelphia
6100,philadelphia
9000,philadelphia
9000,philadelphia
1500,philadelphia
1500,philadelphia
300,philadelphia
300,philadelphia
24500,philadelphia
24500,philadelphia
19995,dallas
46995,dallas
46995,dallas
19440,dallas
19440,dallas
23995,dallas
23995,dallas
20000,dallas
20000,dallas
35,dallas
35,dallas
23988,dallas
23988,dallas
23888,phoenix
46610,phoenix
46610,phoenix
24930,phoenix
24930,phoenix
23888,phoenix
23888,phoenix
500,phoenix
500,phoenix
5995,philadelphia
5995,philadelphia
1500,phoenix
1500,phoenix
26532,phoenix
26532,phoenix
29900,phoenix
29900,phoenix
13500,phoenix
13500,phoenix
24888,phoenix
24888,phoenix
13995,phoenix
13995,phoenix
59910,phoenix
59910,phoenix
43900,phoenix
43900,phoenix
18995,phoenix
18995,phoenix
24930,phoenix
24930,phoenix
24930,phoenix
24930,phoenix
24930,phoenix
24930,phoenix
12500,phoenix
12500,phoenix
18995,phoenix
18995,phoenix
29900,phoenix
29900,phoenix
29900,phoenix
29900,phoenix
29900,phoenix
29900,phoenix
33900,phoenix
33900,phoenix
59910,phoenix
59910,phoenix
13995,phoenix
13995,phoenix
995,phoenix
995,phoenix
2800,sanantonio
2800,sanantonio
16999,sanantonio
16999,sanantonio
10000,sanantonio
10000,sanantonio
15,sanantonio
15,sanantonio
24500,sanantonio
24500,sanantonio
4500,sanantonio
4500,sanantonio
60,sanantonio
60,sanantonio
200,sanantonio
200,sanantonio
50,sanantonio
50,sanantonio
475,sanantonio
475,sanantonio
40,sanantonio
40,sanantonio
20,sanantonio
20,sanantonio
40000,sanantonio
40000,sanantonio
20,sanantonio
20,sanantonio
5000,sanantonio
5000,sanantonio
5000,sanantonio
5000,sanantonio
425,sanantonio
425,sanantonio
5000,sanantonio
5000,sanantonio
79995,sanantonio
79995,sanantonio
89995,sanantonio
89995,sanantonio
84995,sanantonio
84995,sanantonio
16388,sanantonio
16388,sanantonio
17861,sanantonio
17861,sanantonio
40000,sanantonio
40000,sanantonio
25611,sanantonio
25611,sanantonio
17999,sanantonio
17999,sanantonio
25,sanantonio
25,sanantonio
26900,sanantonio
26900,sanantonio
31895,sanantonio
31895,sanantonio
12999,sanantonio
12999,sanantonio
18999,sanantonio
18999,sanantonio
18999,sanantonio
18999,sanantonio
19042,sanantonio
19042,sanantonio
25495,sfbay
22093,sanantonio
22093,sanantonio
25364,sanantonio
25364,sanantonio
25512,sanantonio
25512,sanantonio
26277,sanantonio
26277,sanantonio
9250,sanantonio
9250,sanantonio
1800,sanantonio
1800,sanantonio
5000,sanantonio
5000,sanantonio
5000,sanantonio
5000,sanantonio
5000,sanantonio
25495,sfbay
28983,sfbay
28983,sfbay
35947,sfbay
35947,sfbay
24995,sfbay
24995,sfbay
27977,sfbay
27977,sfbay
27377,sfbay
27377,sfbay
31996,sfbay
31996,sfbay
5000,sanantonio
14174,sanantonio
14174,sanantonio
18477,sanantonio
18477,sanantonio
16308,sanantonio
16308,sanantonio
15999,sanantonio
15999,sanantonio
16999,sanantonio
16999,sanantonio
25512,sanantonio
25512,sanantonio
26227,sanantonio
26227,sanantonio
22093,sanantonio
22093,sanantonio
12999,sanantonio
28990,sfbay
28990,sfbay
36966,sfbay
36966,sfbay
39500,sfbay
12999,sanantonio
18999,sanantonio
18999,sanantonio
18999,sanantonio
18999,sanantonio
25364,sanantonio
25364,sanantonio
19042,sanantonio
19042,sanantonio
25611,sanantonio
25611,sanantonio
17999,sanantonio
17999,sanantonio
250,sanantonio
250,sanantonio
39500,sfbay
5,sfbay
5,sfbay
39500,sfbay
39500,sfbay
4000,sfbay
4000,sfbay
200,sfbay
200,sfbay
200,sfbay
200,sfbay
85,sfbay
85,sfbay
200,sfbay
200,sfbay
180,sfbay
180,sfbay
125,sfbay
125,sfbay
14174,sanantonio
14174,sanantonio
16308,sanantonio
16308,sanantonio
16388,sanantonio
16388,sanantonio
17861,sanantonio
17861,sanantonio
7881,sanantonio
7881,sanantonio
8548,sanantonio
8548,sanantonio
18477,sanantonio
20,sfbay
20,sfbay
8995,sfbay
8995,sfbay
2800,sfbay
2800,sfbay
100,sfbay
100,sfbay
5500,sfbay
5500,sfbay
12000,sfbay
12000,sfbay
114900,sfbay
114900,sfbay
4000,sfbay
4000,sfbay
8999,sfbay
18477,sanantonio
1,sanantonio
1,sanantonio
2000,sanantonio
2000,sanantonio
43900,sanantonio
43900,sanantonio
17988,sanantonio
17988,sanantonio
8999,sfbay
14999,sfbay
14999,sfbay
10999,sfbay
10999,sfbay
23995,sfbay
23995,sfbay
275,sfbay
275,sfbay
35,sfbay
35,sfbay
175,sfbay
175,sfbay
11000,sfbay
11000,sfbay
11000,sfbay
11000,sfbay
100,sfbay
100,sfbay
15000,sfbay
15000,sfbay
13900,sfbay
13900,sfbay
9000,sfbay
9000,sfbay
125,sfbay
125,sfbay
125,sfbay
125,sfbay
57500,sfbay
57500,sfbay
5500,sfbay
5500,sfbay
12000,sfbay
12000,sfbay
95,sfbay
95,sfbay
16000,sfbay
16000,sfbay
8000,sfbay
8000,sfbay
30,sfbay
30,sfbay
75,sfbay
75,sfbay
9,sfbay
9,sfbay
200,sfbay
200,sfbay
95,sfbay
95,sfbay
400,sfbay
400,sfbay
400,sfbay
400,sfbay
599000,sfbay
599000,sfbay
39500,sfbay
39500,sfbay
24999,sfbay
24999,sfbay
61999,sfbay
61999,sfbay
